transaction_ID,Customer ID,Transaction_Date,transaction_amount,product_service type,transaction_fees,Operational expenses
TRANS00100,CUST0558,2023-06-22,6775.01,Insurance,163.91,483.28
TRANS00101,CUST0184,2023-07-27,8949.27,Personal loan,151.16,400.95
TRANS00102,CUST0698,2023-07-29,5385.64,Insurance,121.89,294.03
TRANS00103,CUST0786,2023-01-05,8787.02,Investment,124.9,497.56
TRANS00104,CUST0563,2023-02-28,4281.63,Personal loan,55.27,315.48
TRANS00105,CUST0027,2023-06-02,226.43,Mortgage,62.43,278.8
TRANS00106,CUST0975,2023-05-05,1154.06,Mortgage,121.02,400.99
TRANS00107,CUST0744,2023-03-03,3870.62,Insurance,26.57,353.24
TRANS00108,CUST0472,2023-08-25,625.34,Insurance,30.21,43.44
TRANS00109,CUST0965,2023-05-12,660.39,Mortgage,129.62,295.2
TRANS00110,CUST0725,2023-02-05,2743.08,Personal loan,124.35,123.3
TRANS00111,CUST0214,2023-05-29,7876.77,Insurance,17.8,469.03
TRANS00112,CUST0448,2023-04-20,9836.97,Personal loan,193.98,151.9
TRANS00113,CUST0816,2023-06-19,6865.56,Mortgage,177.97,350.65
TRANS00114,CUST0298,2023-08-22,1549.64,Personal loan,165.31,109.14
TRANS00115,CUST0851,2023-03-22,714.12,Mortgage,46.66,260.75
TRANS00116,CUST0709,2023-03-21,7865.14,Personal loan,94.7,41.96
TRANS00117,CUST0070,2023-04-02,2119.61,Investment,28.74,211.36
TRANS00118,CUST0838,2023-05-14,5457.6,Personal loan,188.95,107.0
TRANS00119,CUST0868,2023-06-12,3650.96,Mortgage,127.61,156.76
TRANS00120,CUST0814,2023-02-21,4580.69,Personal loan,67.28,22.42
TRANS00121,CUST0814,2023-03-19,6199.48,Investment,100.1,119.43
TRANS00122,CUST0418,2023-01-22,6787.71,Insurance,154.59,395.38
TRANS00123,CUST0689,2023-03-15,5662.66,Personal loan,111.38,335.46
TRANS00124,CUST0511,2023-08-23,2320.64,Mortgage,39.2,151.89
TRANS00125,CUST0142,2023-07-01,6506.48,Investment,34.29,241.97
TRANS00126,CUST0648,2023-04-27,3949.98,Insurance,89.46,399.32
TRANS00127,CUST0310,2023-04-13,5158.13,Personal loan,145.2,324.73
TRANS00128,CUST0247,2023-01-09,7988.65,Insurance,179.4,66.63
TRANS00129,CUST0258,2023-07-15,6991.67,Personal loan,154.28,127.92
TRANS00130,CUST0674,2023-07-16,6960.07,Personal loan,170.76,360.32
TRANS00131,CUST0157,2023-01-21,565.1,Insurance,116.47,126.11
TRANS00132,CUST0732,2023-06-17,3877.67,Insurance,75.99,313.47
TRANS00133,CUST0433,2023-07-09,4224.01,Investment,79.54,369.52
TRANS00134,CUST0808,2023-01-17,7902.3,Personal loan,129.67,312.47
TRANS00135,CUST0386,2023-07-16,6882.97,Personal loan,32.31,241.11
TRANS00136,CUST0075,2023-08-24,9661.75,Insurance,92.86,221.97
TRANS00137,CUST0459,2023-08-05,632.64,Investment,101.74,305.71
TRANS00138,CUST0612,2023-07-07,7462.33,Insurance,109.51,279.9
TRANS00139,CUST0490,2023-01-17,2110.56,Mortgage,190.96,248.29
TRANS00140,CUST0596,2023-08-20,8701.61,Investment,160.27,287.68
TRANS00141,CUST0410,2023-03-07,8618.4,Mortgage,41.72,184.62
TRANS00142,CUST0547,2023-01-16,4486.33,Investment,62.09,173.43
TRANS00143,CUST0518,2023-09-21,2332.93,Personal loan,193.82,414.86
TRANS00144,CUST0945,2023-02-15,6374.51,Insurance,65.03,92.85
TRANS00145,CUST0942,2023-08-21,7124.5,Investment,191.6,430.09
TRANS00146,CUST0890,2023-08-27,3740.64,Personal loan,21.55,259.51
TRANS00147,CUST0708,2023-02-05,5925.01,Personal loan,194.77,275.48
TRANS00148,CUST0428,2023-07-30,7410.66,Mortgage,46.14,101.61
TRANS00149,CUST0556,2023-09-02,2045.04,Mortgage,164.76,207.23
TRANS00150,CUST0037,2023-04-20,7276.65,Personal loan,104.05,213.41
TRANS00151,CUST0809,2023-03-28,2015.63,Mortgage,111.17,337.14
TRANS00152,CUST0991,2023-01-31,4543.27,Personal loan,107.56,294.23
TRANS00153,CUST0368,2023-02-05,9836.19,Personal loan,24.25,57.73
TRANS00154,CUST0718,2023-03-19,837.24,Personal loan,93.17,253.54
TRANS00155,CUST0916,2023-09-22,9628.5,Mortgage,106.76,492.77
TRANS00156,CUST0831,2023-02-26,7377.29,Investment,116.87,59.88
TRANS00157,CUST0549,2023-06-01,1281.6,Personal loan,84.15,379.05
TRANS00158,CUST0608,2023-05-28,502.28,Insurance,125.37,274.2
TRANS00159,CUST0653,2023-02-08,2863.21,Insurance,49.32,165.94
TRANS00160,CUST0936,2023-02-07,2715.97,Mortgage,10.68,380.41
TRANS00161,CUST0087,2023-05-11,1693.2,Personal loan,118.66,236.72
TRANS00162,CUST0111,2023-07-28,8475.54,Personal loan,122.5,244.34
TRANS00163,CUST0787,2023-04-18,155.89,Investment,11.68,94.83
TRANS00164,CUST0254,2023-08-03,4716.68,Investment,186.44,300.77
TRANS00165,CUST0673,2023-05-12,9381.2,Insurance,107.43,319.65
TRANS00166,CUST0680,2023-08-06,495.41,Insurance,105.73,291.15
TRANS00167,CUST0363,2023-01-19,9293.42,Insurance,146.91,219.39
TRANS00168,CUST0170,2023-05-14,6009.12,Insurance,59.18,387.17
TRANS00169,CUST0662,2023-03-05,7759.24,Personal loan,171.97,380.67
TRANS00170,CUST0627,2023-06-05,6291.13,Insurance,66.31,156.27
TRANS00171,CUST0045,2023-04-04,8447.09,Investment,61.02,377.14
TRANS00172,CUST0576,2023-03-14,3081.43,Personal loan,32.63,495.05
TRANS00173,CUST0660,2023-09-13,7920.09,Mortgage,52.55,200.14
TRANS00174,CUST0693,2023-02-16,5546.59,Investment,111.38,278.04
TRANS00175,CUST0662,2023-02-13,821.52,Mortgage,65.45,201.65
TRANS00176,CUST0409,2023-08-19,7106.05,Insurance,131.53,475.43
TRANS00177,CUST0990,2023-09-12,5301.41,Insurance,188.99,79.28
TRANS00178,CUST0770,2023-06-06,9574.18,Personal loan,62.77,209.96
TRANS00179,CUST0339,2023-01-13,5254.0,Personal loan,35.26,121.43
TRANS00180,CUST0988,2023-04-25,7883.96,Investment,175.94,73.1
TRANS00181,CUST0815,2023-06-26,1677.77,Mortgage,19.79,158.89
TRANS00182,CUST0440,2023-09-19,5476.49,Personal loan,196.2,435.15
TRANS00183,CUST0108,2023-03-03,4093.83,Personal loan,198.01,388.1
TRANS00184,CUST0010,2023-02-26,3559.09,Mortgage,49.89,492.5
TRANS00185,CUST0100,2023-01-08,8845.63,Mortgage,32.08,489.87
TRANS00186,CUST0264,2023-05-02,6667.01,Insurance,133.24,284.03
TRANS00187,CUST0227,2023-03-29,3377.56,Insurance,130.21,188.97
TRANS00188,CUST0522,2023-08-22,3006.39,Personal loan,194.72,124.52
TRANS00189,CUST0764,2023-07-02,9508.05,Insurance,71.67,452.22
TRANS00190,CUST0531,2023-09-21,6220.98,Personal loan,189.82,153.86
TRANS00191,CUST0571,2023-01-03,4801.09,Personal loan,177.96,389.84
TRANS00192,CUST0594,2023-07-04,5657.21,Mortgage,60.17,322.53
TRANS00193,CUST0704,2023-07-05,7546.12,Personal loan,35.39,338.83
TRANS00194,CUST0589,2023-04-16,6528.07,Personal loan,180.68,349.69
TRANS00195,CUST0226,2023-05-22,1235.75,Personal loan,66.03,323.9
TRANS00196,CUST0456,2023-04-19,3525.47,Insurance,197.2,325.38
TRANS00197,CUST0383,2023-04-26,2479.44,Insurance,128.93,261.11
TRANS00198,CUST0400,2023-07-06,6458.42,Investment,11.98,275.6
TRANS00199,CUST0474,2023-01-23,9194.21,Mortgage,77.54,128.05
TRANS00200,CUST0790,2023-07-26,2513.89,Investment,148.79,213.9
TRANS00201,CUST0695,2023-09-21,494.78,Personal loan,63.14,383.28
TRANS00202,CUST0602,2023-09-21,8868.04,Personal loan,58.64,157.42
TRANS00203,CUST0707,2023-02-23,3875.59,Investment,12.97,463.78
TRANS00204,CUST0512,2023-09-06,7982.45,Mortgage,134.89,95.34
TRANS00205,CUST0154,2023-03-18,1222.4,Personal loan,174.92,439.2
TRANS00206,CUST0353,2023-02-01,2640.25,Personal loan,188.41,212.03
TRANS00207,CUST0025,2023-06-22,7267.36,Insurance,120.82,21.6
TRANS00208,CUST0494,2023-01-25,344.59,Personal loan,147.29,418.34
TRANS00209,CUST0107,2023-04-23,5216.99,Personal loan,140.74,386.21
TRANS00210,CUST0302,2023-06-01,7727.89,Personal loan,189.67,334.97
TRANS00211,CUST0425,2023-01-29,5191.66,Investment,58.9,348.01
TRANS00212,CUST0942,2023-08-28,5136.48,Insurance,128.98,67.2
TRANS00213,CUST0984,2023-08-11,4919.37,Personal loan,124.82,298.48
TRANS00214,CUST0087,2023-05-12,3034.7,Mortgage,49.17,220.69
TRANS00215,CUST0118,2023-04-05,6550.13,Personal loan,94.02,220.77
TRANS00216,CUST0851,2023-08-12,3271.1,Personal loan,71.61,110.66
TRANS00217,CUST0963,2023-04-16,915.22,Mortgage,48.74,33.94
TRANS00218,CUST0747,2023-06-13,1049.97,Mortgage,129.66,127.61
TRANS00219,CUST0145,2023-07-08,9719.12,Mortgage,173.06,312.66
TRANS00220,CUST0356,2023-05-31,7755.85,Insurance,85.14,261.61
TRANS00221,CUST0319,2023-06-08,5378.74,Insurance,94.75,58.64
TRANS00222,CUST0351,2023-02-21,6306.64,Insurance,148.66,293.88
TRANS00223,CUST0466,2023-06-08,2186.74,Investment,92.44,216.21
TRANS00224,CUST0803,2023-03-11,6332.19,Mortgage,38.18,30.96
TRANS00225,CUST0211,2023-04-07,2210.43,Mortgage,101.01,312.71
TRANS00226,CUST0533,2023-05-07,6885.51,Insurance,104.23,99.9
TRANS00227,CUST0494,2023-08-12,8373.08,Mortgage,97.28,320.24
TRANS00228,CUST0356,2023-05-26,2135.24,Personal loan,164.96,348.49
TRANS00229,CUST0487,2023-01-02,8304.61,Insurance,43.46,476.89
TRANS00230,CUST0099,2023-05-22,8798.51,Personal loan,118.24,30.91
TRANS00231,CUST0448,2023-04-01,7439.61,Mortgage,189.24,308.64
TRANS00232,CUST0739,2023-01-06,4408.85,Mortgage,44.28,399.14
TRANS00233,CUST0713,2023-02-23,8185.87,Personal loan,63.59,206.88
TRANS00234,CUST0463,2023-05-30,813.99,Mortgage,68.93,265.44
TRANS00235,CUST0326,2023-01-29,6891.83,Insurance,178.2,112.66
TRANS00236,CUST0068,2023-07-27,335.15,Investment,165.32,458.34
TRANS00237,CUST0307,2023-04-27,7197.0,Investment,140.6,239.73
TRANS00238,CUST0045,2023-01-07,475.07,Investment,45.69,367.07
TRANS00239,CUST0829,2023-02-20,825.16,Mortgage,37.27,134.87
TRANS00240,CUST0727,2023-05-26,1862.12,Insurance,91.02,246.64
TRANS00241,CUST0117,2023-07-08,2593.89,Insurance,96.45,362.14
TRANS00242,CUST0023,2023-08-04,797.38,Mortgage,132.57,115.9
TRANS00243,CUST0869,2023-06-24,8234.03,Insurance,86.48,83.67
TRANS00244,CUST0351,2023-01-03,9118.77,Mortgage,147.62,51.11
TRANS00245,CUST0663,2023-03-25,4135.56,Investment,36.09,34.83
TRANS00246,CUST0111,2023-05-31,4566.14,Insurance,152.58,297.25
TRANS00247,CUST0693,2023-07-20,4104.04,Mortgage,12.24,240.41
TRANS00248,CUST0819,2023-06-05,3232.4,Insurance,28.95,348.16
TRANS00249,CUST0168,2023-01-19,3956.07,Personal loan,82.96,232.95
TRANS00250,CUST0952,2023-05-09,1271.23,Personal loan,30.91,136.1
TRANS00251,CUST0758,2023-01-21,158.4,Personal loan,12.57,104.9
TRANS00252,CUST0249,2023-06-02,7230.83,Mortgage,167.8,241.47
TRANS00253,CUST0528,2023-04-02,726.05,Insurance,187.59,327.86
TRANS00254,CUST0178,2023-01-17,7484.92,Personal loan,35.11,405.77
TRANS00255,CUST0565,2023-06-03,550.62,Insurance,156.32,422.18
TRANS00256,CUST0163,2023-06-03,8497.69,Mortgage,60.85,438.6
TRANS00257,CUST0338,2023-04-03,3641.23,Personal loan,188.33,456.26
TRANS00258,CUST0573,2023-06-18,5078.09,Personal loan,123.93,137.53
TRANS00259,CUST0436,2023-01-04,2969.38,Mortgage,160.56,366.58
TRANS00260,CUST0981,2023-05-25,6890.2,Insurance,11.79,53.52
TRANS00261,CUST0473,2023-01-18,6105.0,Personal loan,160.42,379.33
TRANS00262,CUST0237,2023-02-20,2887.02,Insurance,113.05,347.37
TRANS00263,CUST0816,2023-07-26,9274.24,Investment,165.47,215.05
TRANS00264,CUST0414,2023-09-06,3875.99,Mortgage,172.02,269.49
TRANS00265,CUST0644,2023-02-04,8239.01,Personal loan,26.14,245.7
TRANS00266,CUST0188,2023-09-09,405.11,Mortgage,36.45,204.95
TRANS00267,CUST0190,2023-09-03,1647.6,Investment,154.34,395.86
TRANS00268,CUST0655,2023-06-16,2276.67,Mortgage,179.55,479.64
TRANS00269,CUST0673,2023-04-14,7492.86,Mortgage,164.94,444.01
TRANS00270,CUST0442,2023-01-04,7988.03,Personal loan,68.4,277.92
TRANS00271,CUST0405,2023-08-31,8509.73,Investment,100.99,363.58
TRANS00272,CUST0029,2023-07-31,3020.29,Personal loan,56.32,311.35
TRANS00273,CUST0755,2023-08-17,6377.05,Insurance,113.27,494.82
TRANS00274,CUST0628,2023-02-16,3050.76,Investment,60.82,363.09
TRANS00275,CUST0904,2023-01-05,8881.08,Mortgage,113.29,230.49
TRANS00276,CUST0202,2023-03-26,9657.12,Mortgage,14.03,417.32
TRANS00277,CUST0460,2023-08-16,8684.68,Insurance,18.46,48.7
TRANS00278,CUST0606,2023-01-18,6514.61,Mortgage,113.48,409.6
TRANS00279,CUST0439,2023-08-19,9578.18,Personal loan,29.49,417.59
TRANS00280,CUST0398,2023-02-15,210.39,Investment,178.43,368.07
TRANS00281,CUST0004,2023-03-06,8760.19,Insurance,88.9,39.16
TRANS00282,CUST0721,2023-01-23,1499.6,Insurance,10.23,211.73
TRANS00283,CUST0219,2023-04-03,513.55,Mortgage,52.62,465.15
TRANS00284,CUST0210,2023-09-06,5769.91,Mortgage,53.07,322.05
TRANS00285,CUST0285,2023-01-12,4001.41,Insurance,83.22,231.22
TRANS00286,CUST0770,2023-02-25,5520.5,Personal loan,77.13,397.96
TRANS00287,CUST0720,2023-05-22,942.76,Personal loan,64.5,69.74
TRANS00288,CUST0828,2023-02-22,2179.52,Investment,185.12,426.59
TRANS00289,CUST0815,2023-01-10,7440.16,Mortgage,140.04,383.81
TRANS00290,CUST0064,2023-08-25,7286.78,Insurance,140.49,298.31
TRANS00291,CUST0591,2023-04-12,2196.2,Mortgage,145.82,399.98
TRANS00292,CUST0104,2023-05-12,9065.72,Mortgage,181.31,366.56
TRANS00293,CUST0818,2023-03-03,8529.44,Personal loan,103.45,195.9
TRANS00294,CUST0892,2023-03-19,1510.31,Mortgage,198.25,335.14
TRANS00295,CUST0549,2023-06-28,1921.53,Investment,52.66,88.14
TRANS00296,CUST0191,2023-05-25,6207.16,Personal loan,191.73,136.67
TRANS00297,CUST0374,2023-08-09,2602.14,Personal loan,63.54,251.64
TRANS00298,CUST0333,2023-07-01,1234.76,Mortgage,24.5,146.96
TRANS00299,CUST0201,2023-08-21,6742.68,Personal loan,73.41,178.41
TRANS00300,CUST0468,2023-05-23,5716.2,Investment,78.49,352.98
TRANS00301,CUST0116,2023-03-31,638.44,Insurance,185.69,239.96
TRANS00302,CUST0268,2023-02-13,7535.31,Investment,26.11,360.36
TRANS00303,CUST0686,2023-08-12,9901.76,Personal loan,18.24,381.2
TRANS00304,CUST0883,2023-09-10,5533.63,Investment,38.71,383.35
TRANS00305,CUST0501,2023-03-14,6482.28,Personal loan,91.44,184.37
TRANS00306,CUST0540,2023-06-02,824.13,Mortgage,73.62,350.81
TRANS00307,CUST0989,2023-01-17,6749.68,Personal loan,44.46,178.72
TRANS00308,CUST0654,2023-01-20,2581.81,Insurance,90.8,236.18
TRANS00309,CUST0320,2023-08-31,2054.43,Investment,179.69,143.8
TRANS00310,CUST0611,2023-07-27,5847.9,Mortgage,140.56,152.14
TRANS00311,CUST0397,2023-06-17,9520.25,Personal loan,128.7,37.16
TRANS00312,CUST0625,2023-01-17,3635.67,Investment,64.53,87.21
TRANS00313,CUST0401,2023-02-21,6745.83,Investment,176.33,270.45
TRANS00314,CUST0601,2023-06-29,2421.88,Investment,61.51,32.45
TRANS00315,CUST0116,2023-05-16,2922.86,Mortgage,104.86,442.48
TRANS00316,CUST0356,2023-07-11,791.11,Personal loan,80.13,290.5
TRANS00317,CUST0360,2023-04-25,2015.64,Personal loan,60.43,362.63
TRANS00318,CUST0865,2023-09-14,4910.03,Mortgage,182.33,167.2
TRANS00319,CUST0468,2023-05-05,3350.63,Insurance,161.75,363.6
TRANS00320,CUST0632,2023-04-11,6628.28,Investment,159.88,292.47
TRANS00321,CUST0176,2023-04-17,6965.24,Personal loan,173.73,166.28
TRANS00322,CUST0833,2023-09-02,1608.71,Mortgage,195.83,362.28
TRANS00323,CUST0689,2023-08-18,5711.93,Mortgage,157.78,343.17
TRANS00324,CUST0722,2023-02-23,8096.23,Investment,37.85,94.13
TRANS00325,CUST0819,2023-01-18,9590.72,Mortgage,38.08,406.5
TRANS00326,CUST0304,2023-05-04,1769.53,Investment,94.87,81.71
TRANS00327,CUST0940,2023-04-22,3200.83,Personal loan,161.4,311.58
TRANS00328,CUST0629,2023-08-05,7878.04,Investment,195.5,432.39
TRANS00329,CUST0604,2023-08-23,7150.77,Insurance,164.78,143.51
TRANS00330,CUST0086,2023-04-20,6444.3,Investment,31.5,129.4
TRANS00331,CUST0688,2023-04-21,2839.13,Investment,91.22,428.44
TRANS00332,CUST0137,2023-05-08,3658.91,Insurance,148.07,299.95
TRANS00333,CUST0320,2023-03-29,6827.84,Investment,37.49,91.21
TRANS00334,CUST0120,2023-07-19,3382.47,Mortgage,71.38,25.79
TRANS00335,CUST0244,2023-02-05,4851.54,Personal loan,34.23,194.8
TRANS00336,CUST0312,2023-02-18,4509.04,Personal loan,155.83,264.12
TRANS00337,CUST0119,2023-08-05,7770.19,Personal loan,77.0,437.71
TRANS00338,CUST0187,2023-01-07,4921.02,Personal loan,103.9,268.07
TRANS00339,CUST0382,2023-09-02,1177.44,Insurance,101.44,248.95
TRANS00340,CUST0710,2023-08-06,6490.96,Investment,194.84,452.0
TRANS00341,CUST0144,2023-02-16,911.54,Investment,124.33,486.75
TRANS00342,CUST0523,2023-08-01,2878.1,Mortgage,130.95,329.05
TRANS00343,CUST0397,2023-08-20,8281.79,Investment,36.26,301.83
TRANS00344,CUST0428,2023-06-01,8923.84,Insurance,189.37,260.53
TRANS00345,CUST0610,2023-05-16,2044.68,Mortgage,185.1,271.2
TRANS00346,CUST0141,2023-09-02,7362.09,Mortgage,82.81,201.43
TRANS00347,CUST0588,2023-05-17,6303.53,Investment,114.37,464.52
TRANS00348,CUST0392,2023-07-25,7301.51,Insurance,112.36,331.22
TRANS00349,CUST0433,2023-03-24,8931.84,Personal loan,103.59,437.98
TRANS00350,CUST0190,2023-04-21,8510.91,Insurance,111.88,251.39
TRANS00351,CUST0498,2023-04-20,6353.1,Insurance,53.72,252.32
TRANS00352,CUST0650,2023-05-09,8145.16,Insurance,25.89,202.34
TRANS00353,CUST0550,2023-06-04,5831.12,Mortgage,145.84,341.0
TRANS00354,CUST0710,2023-06-07,7715.08,Mortgage,110.12,51.08
TRANS00355,CUST0941,2023-03-02,2206.33,Insurance,157.55,127.92
TRANS00356,CUST0660,2023-03-07,462.9,Personal loan,164.15,119.09
TRANS00357,CUST0953,2023-08-20,2680.1,Mortgage,51.67,92.04
TRANS00358,CUST0177,2023-05-25,8950.46,Insurance,26.58,312.15
TRANS00359,CUST0568,2023-02-28,5442.8,Personal loan,78.72,369.81
TRANS00360,CUST0170,2023-02-17,6573.69,Investment,48.62,77.4
TRANS00361,CUST0501,2023-07-11,1571.47,Investment,171.61,114.53
TRANS00362,CUST0295,2023-08-28,3985.73,Insurance,78.86,259.42
TRANS00363,CUST0143,2023-07-12,8925.23,Insurance,100.05,293.32
